region,year,TOTAL CRIME SEVERITY INDEX
"Cape Breton Region, Nova Scotia, municipal",2014,61
"Halifax Metropolitain Area, Nova Scotia, municipal",2017,64
"Halifax Metropolitain Area, Nova Scotia, municipal",2010,98
"Cape Breton Region, Nova Scotia, municipal",2015,61
"Cape Breton Region, Nova Scotia, municipal",2011,65
"Cape Breton Region, Nova Scotia, municipal",2013,59
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2010,82
"Halifax Metropolitain Area, Nova Scotia, municipal",2012,76
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2015,63
"Cape Breton Region, Nova Scotia, municipal",2012,73
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2013,74
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2014,61
"Cape Breton Region, Nova Scotia, municipal",2010,67
"Cape Breton Region, Nova Scotia, municipal",2017,59
"Halifax Metropolitain Area, Nova Scotia, municipal",2013,68
"Halifax Metropolitain Area, Nova Scotia, municipal",2015,64
"Halifax Metropolitain Area, Nova Scotia, municipal",2014,66
"Halifax Metropolitain Area, Nova Scotia, municipal",2016,62
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2017,58
"Cape Breton Region, Nova Scotia, municipal",2016,48
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2012,92
"Halifax Metropolitain Area, Nova Scotia, municipal",2011,89
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2016,69
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",2011,77
