year,Country,NUM_OF_VISITORS
2006,Canada,5400
2006,Canada,3400
2006,Canada,16600
2006,Canada,7000
2006,United States,800
2006,United States,1200
2006,United States,300
2006,United States,300
2006,United States,1400
2006,United States,200
2006,United States,500
2006,United States,500
2006,United States,400
2006,Overseas,1400
2006,Overseas,600
2006,Overseas,1200
2006,Overseas,1500
2006,Canada,69900
2006,Canada,400
2006,Canada,1700
2006,Canada,100
2006,United States,200
2006,United States,300
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,0
2006,United States,0
2006,Overseas,0
2006,Canada,7200
2006,Canada,2900
2006,Canada,9000
2006,Canada,2600
2006,United States,500
2006,United States,600
2006,United States,400
2006,United States,0
2006,United States,700
2006,United States,100
2006,United States,300
2006,United States,100
2006,United States,300
2006,Overseas,800
2006,Overseas,200
2006,Overseas,400
2006,Overseas,900
2006,Canada,66100
2006,Canada,600
2006,Canada,2000
2006,Canada,100
2006,United States,300
2006,United States,500
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,0
2006,United States,0
2006,Overseas,0
2006,Canada,8600
2006,Canada,3000
2006,Canada,10500
2006,Canada,3700
2006,United States,200
2006,United States,600
2006,United States,200
2006,United States,100
2006,United States,700
2006,United States,0
2006,United States,400
2006,United States,400
2006,United States,700
2006,Overseas,1300
2006,Overseas,100
2006,Overseas,600
2006,Overseas,800
2006,Canada,84500
2006,Canada,600
2006,Canada,4700
2006,Canada,200
2006,United States,400
2006,United States,600
2006,United States,300
2006,United States,0
2006,United States,0
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,0
2006,United States,0
2006,Overseas,0
2006,Canada,7500
2006,Canada,4700
2006,Canada,20100
2006,Canada,6100
2006,United States,200
2006,United States,1500
2006,United States,300
2006,United States,300
2006,United States,1200
2006,United States,200
2006,United States,400
2006,United States,100
2006,United States,400
2006,Overseas,500
2006,Overseas,300
2006,Overseas,700
2006,Overseas,500
2006,Canada,85100
2006,Canada,1300
2006,Canada,6200
2006,Canada,400
2006,United States,700
2006,United States,1300
2006,United States,600
2006,United States,200
2006,United States,0
2006,United States,300
2006,United States,0
2006,United States,0
2006,United States,0
2006,United States,100
2006,Overseas,0
2006,Canada,8900
2006,Canada,3800
2006,Canada,16600
2006,Canada,7000
2006,United States,800
2006,United States,1400
2006,United States,500
2006,United States,200
2006,United States,1800
2006,United States,100
2006,United States,400
2006,United States,500
2006,United States,800
2006,Overseas,1400
2006,Overseas,1300
2006,Overseas,800
2006,Overseas,1900
2006,Canada,95500
2006,Canada,2800
2006,Canada,9100
2006,Canada,1200
2006,United States,800
2006,United States,2200
2006,United States,1200
2006,United States,500
2006,United States,200
2006,United States,900
2006,United States,100
2006,United States,200
2006,United States,200
2006,United States,200
2006,Overseas,0
2006,Canada,7200
2006,Canada,4600
2006,Canada,20100
2006,Canada,10300
2006,United States,900
2006,United States,1500
2006,United States,1000
2006,United States,400
2006,United States,2700
2006,United States,400
2006,United States,1200
2006,United States,800
2006,United States,900
2006,Overseas,2600
2006,Overseas,1200
2006,Overseas,1400
2006,Overseas,1700
2006,Canada,95500
2006,Canada,5800
2006,Canada,17500
2006,Canada,2200
2006,United States,2100
2006,United States,5800
2006,United States,4000
2006,Canada,13900
2006,United States,1500
2006,United States,500
2006,United States,3100
2006,United States,500
2006,United States,600
2006,United States,600
2006,United States,900
2006,Overseas,0
2006,Canada,6000
2006,Canada,3800
2006,Canada,28300
2006,Canada,14000
2006,United States,2300
2006,United States,2300
2006,United States,2100
2006,United States,600
2006,United States,4400
2006,United States,700
2006,United States,1300
2006,United States,900
2006,United States,2600
2006,Overseas,4000
2006,Overseas,2700
2006,Overseas,2500
2006,Overseas,2300
2006,Canada,109800
2006,Canada,16100
2006,Canada,48200
2006,Canada,4500
2006,United States,3700
2006,United States,12000
2006,United States,7500
2006,United States,2800
2006,United States,1100
2006,United States,5300
2006,United States,1000
2006,United States,1600
2006,United States,1300
2006,United States,1800
2006,Overseas,0
2006,Canada,5600
2006,Canada,5500
2006,Canada,36600
2006,Canada,21700
2006,United States,2100
2006,United States,3200
2006,United States,2900
2006,United States,900
2006,United States,4800
2006,United States,400
2006,United States,1300
