Region,year,Occupancy_rate
South Shore,2018,0.2
Halifax Metro,2018,0.44
Eastern Shore,2018,0.12
Cape Breton,2018,0.26
Northumberland Shore,2018,0.33
Bay of Fundy/Annapolis Valley,2018,0.26
Yarmouth/Acadian Shores,2018,0.24
Province,2018,0.35
South Shore,2018,0.27
Halifax Metro,2018,0.5
Eastern Shore,2018,0.15
Cape Breton,2018,0.31
Northumberland Shore,2018,0.35
Bay of Fundy/Annapolis Valley,2018,0.33
Yarmouth/Acadian Shores,2018,0.34
Province,2018,0.41
South Shore,2018,0.31
Halifax Metro,2018,0.65
Eastern Shore,2018,0.15
Cape Breton,2018,0.36
Northumberland Shore,2018,0.35
Bay of Fundy/Annapolis Valley,2018,0.39
Yarmouth/Acadian Shores,2018,0.34
Province,2018,0.51
South Shore,2018,0.29
Halifax Metro,2018,0.68
Eastern Shore,2018,0.15
Cape Breton,2018,0.32
Northumberland Shore,2018,0.33
Bay of Fundy/Annapolis Valley,2018,0.37
Yarmouth/Acadian Shores,2018,0.66
Province,2018,0.52
South Shore,2018,0.34
Halifax Metro,2018,0.63
Eastern Shore,2018,0.24
Cape Breton,2018,0.37
Northumberland Shore,2018,0.31
Bay of Fundy/Annapolis Valley,2018,0.25
Yarmouth/Acadian Shores,2018,0.44
Province,2018,0.45
South Shore,2018,0.48
Halifax Metro,2018,0.73
Eastern Shore,2018,0.3
Cape Breton,2018,0.48
Northumberland Shore,2018,0.34
Bay of Fundy/Annapolis Valley,2018,0.31
Yarmouth/Acadian Shores,2018,0.56
Province,2018,0.53
South Shore,2018,0.65
Halifax Metro,2018,0.76
Eastern Shore,2018,0.47
Cape Breton,2018,0.68
Northumberland Shore,2018,0.47
Bay of Fundy/Annapolis Valley,2018,0.51
Yarmouth/Acadian Shores,2018,0.73
Province,2018,0.65
South Shore,2018,0.76
Halifax Metro,2018,0.8
Eastern Shore,2018,0.59
Cape Breton,2018,0.79
Northumberland Shore,2018,0.7
Bay of Fundy/Annapolis Valley,2018,0.64
Yarmouth/Acadian Shores,2018,0.81
Province,2018,0.75
South Shore,2018,0.65
Halifax Metro,2018,0.87
Eastern Shore,2018,0.54
Cape Breton,2018,0.67
Northumberland Shore,2018,0.65
Bay of Fundy/Annapolis Valley,2018,0.65
Yarmouth/Acadian Shores,2018,0.73
Province,2018,0.74
